TARİH;ÇORBA;BÖREK/PATATES;YUMURTA;PEYNİR;ZEYTİN;PİKNİK ÜRÜN;TEREYAĞI;ŞOKELLA;DOMATES/SALATALIK
17.05.2026;YAYLA ÇORBA;BÖREK;HAŞLANMIŞ YUMURTA;KAŞAR PEYNİR;SİYAH ZEYTİN;REÇEL;TEREYAĞ;ŞOKELLA;DOMATES/SALATALIK
18.05.2026;TAVUKSUYU ÇORBA;FIRIN PATATES;HAŞLANMIŞ YUMURTA;BEYAZ PEYNİR;YEŞİL ZEYTİN;BAL;TEREYAĞ;ŞOKELLA;DOMATES/SALATALIK
19.05.2026;SEBZE ÇORBA;BÖREK;HAŞLANMIŞ YUMURTA;LABNE;SİYAH ZEYTİN;REÇEL;TEREYAĞ;ŞOKELLA;ÇEMEN
20.05.2026;EZOGELİN ÇORBA;BÖREK;HAŞLANMIŞ YUMURTA;MAYDANOZLU BEYAZ PEYNİR;YEŞİL ZEYTİN;TAHİN PEKMEZ;TEREYAĞ;ŞOKELLA;DOMATES/SALATALIK
21.05.2026;TOYGA ÇORBA;HAŞLANMIŞ PATATES;HAŞLANMIŞ YUMURTA;KAŞAR PEYNİR;SİYAH ZEYTİN;REÇEL;TEREYAĞ;ŞOKELLA;DOMATES/SALATALIK
22.05.2026;MERCİMEK ÇORBA;PEYNİRLİ KEK;HAŞLANMIŞ YUMURTA;LABNE;YEŞİL ZEYTİN;BAL;TEREYAĞ;ŞOKELLA;ÇEMEN
23.05.2026;SEBZE ÇORBA;BÖREK;HAŞLANMIŞ YUMURTA;TULUM PEYNİR;SİYAH ZEYTİN;REÇEL;TEREYAĞ;ŞOKELLA;DOMATES/SALATALIK
24.05.2026;TUTMAÇ ÇORBA;FIRIN PATATES;HAŞLANMIŞ YUMURTA;KAŞAR PEYNİR;YEŞİL ZEYTİN;TAHİN PEKMEZ;TEREYAĞ;ŞOKELLA;DOMATES/SALATALIK
25.05.2026;EZOGELİN ÇORBA;HAŞLANMIŞ PATATES;HAŞLANMIŞ YUMURTA;BEYAZ PEYNİR;SİYAH ZEYTİN;REÇEL;TEREYAĞ;ŞOKELLA;ÇEMEN
26.05.2026;TARHANA ÇORBA;PEYNİRLİ KEK;HAŞLANMIŞ YUMURTA;MAYDANOZLU BEYAZ PEYNİR;YEŞİL ZEYTİN;BAL;TEREYAĞ;ŞOKELLA;DOMATES/SALATALIK
27.05.2026;MERCİMEK ÇORBA;BÖREK;HAŞLANMIŞ YUMURTA;TULUM PEYNİR;SİYAH ZEYTİN;REÇEL;TEREYAĞ;ŞOKELLA;DOMATES/SALATALIK
28.05.2026;EZOGELİN ÇORBA;FIRIN PATATES;HAŞLANMIŞ YUMURTA;KAŞAR PEYNİR;YEŞİL ZEYTİN;TAHİN PEKMEZ;TEREYAĞ;ŞOKELLA;ÇEMEN
29.05.2026;DOMATESLİ ŞEHRİYE ÇORBA;HAŞLANMIŞ PATATES;HAŞLANMIŞ YUMURTA;BEYAZ PEYNİR;SİYAH ZEYTİN;REÇEL;TEREYAĞ;ŞOKELLA;DOMATES/SALATALIK
30.05.2026;ALACA ÇORBA;PEYNİRLİ KEK;HAŞLANMIŞ YUMURTA;LABNE;YEŞİL ZEYTİN;BAL;TEREYAĞ;ŞOKELLA;DOMATES/SALATALIK
31.05.2026;SEBZE ÇORBA;BÖREK;HAŞLANMIŞ YUMURTA;MAYDANOZLU BEYAZ PEYNİR;SİYAH ZEYTİN;REÇEL;TEREYAĞ;ŞOKELLA;ÇEMEN
